scheme_id,scheme_name,scheme_description,income,gender,caste,disability,location,age,bpl_card,business_type,link,state
1,Prime Minister's Employment Generation Programme (PMEGP),Margin money subsidy of 15-35% for setting up new micro-enterprises in non-farm sector,300000,male,General,0,urban,18,0,manufacturing,https://www.kviconline.gov.in/pmegpeportal/,All India
2,Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),Collateral-free bank credit guarantee up to Rs.10 crore for micro and small enterprises,300000,male,General,0,urban,18,0,service,https://www.cgtmse.in,All India
3,Pradhan Mantri MUDRA Yojana (PMMY),Collateral-free loans up to Rs.20 lakh for micro and small businesses in four categories,300000,male,General,0,urban,18,0,service,https://www.mudra.org.in,All India
4,Stand-Up India Scheme,Bank loans of Rs.10 lakh to Rs.1 crore for new enterprises by SC/ST or women entrepreneurs,300000,female,SC,0,urban,18,0,manufacturing,https://www.standupmitra.in,All India
5,Credit Guarantee Scheme for Startups (CGSS),Collateral-free debt financing up to Rs.20 crore for DPIIT-recognised startups,300000,male,General,0,urban,18,0,service,https://www.startupindia.gov.in,All India
6,Startup India Seed Fund Scheme (SISFS),Early-stage grant up to Rs.20 lakh and debt up to Rs.50 lakh for startups via incubators,300000,male,General,0,urban,18,0,service,https://seedfund.startupindia.gov.in,All India
7,PM Vishwakarma Yojana,"Toolkit grant, skill training and concessional loans up to Rs.3 lakh for traditional artisans",300000,male,General,0,urban,18,0,manufacturing,https://pmvishwakarma.gov.in,All India
8,PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),"Progressive working capital loans up to Rs.50,000 with interest subsidy for street vendors",300000,male,General,0,urban,18,0,trade,https://pmsvanidhi.mohua.gov.in,All India
9,National SC-ST Hub,"Mentorship, market linkages and business development support for SC/ST entrepreneurs",300000,male,SC,0,urban,18,0,service,https://www.scsthub.in,All India
10,NSFDC Term Loan / Micro Credit Finance Scheme,Concessional term loans up to 90% of project cost for SC entrepreneurs via State agencies,300000,male,SC,0,urban,18,1,service,https://nsfdc.nic.in,All India
