ID,Scheme Name,Gender Eligibility,Social Category Eligibility,Entrepreneur / Business Relevance,Financial Assistance,Financial Benefit Details,Age Eligibility,Income Limit,State / Geographic Eligibility,Main Benefits,Official Application / Scheme URL,Recommendation Eligibility,Minimum Age ,Maximum Age 
1,Prime Minister's Employment Generation Programme (PMEGP),All,Any (higher subsidy for SC/ST/Women/PH/Minorities/Ex-servicemen/NER),Provides bank-financed margin money subsidy to set up brand-new micro-enterprises in the non-farm sector,Yes,"Margin money subsidy of 15%-35% of project cost; project cost ceiling Rs. 50 lakh (manufacturing) / Rs. 20 lakh (service); 35% subsidy (rural) / 25% (urban) for SC/ST/Women/PH/Minorities/Ex-servicemen/NER, 15%-25% for general category",18 years minimum; no upper limit specified,No income ceiling for assistance,All India,Margin money subsidy on a bank loan for setting up a new micro-enterprise; no separate collateral required up to prescribed limits under CGTMSE linkage,https://www.kviconline.gov.in/pmegpeportal/,Recommend,18 years ,No Upper Limit 
2,Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),All,Any (women-owned units get enhanced guarantee coverage),"Guarantees loans extended by banks/NBFCs to MSEs, enabling entrepreneurs to access credit without collateral or third-party guarantee",Yes,"Guarantee coverage of 75%-85% of loan amount (higher for micro enterprises, women entrepreneurs, NER/hilly states); maximum credit facility eligible for guarantee raised to Rs. 10 crore per borrower effective 1 April 2025; nominal Annual Guarantee Fee starting around 0.37% p.a.",Not specified (enterprise-level scheme),Not specified,All India,Enables collateral-free bank credit for MSEs by guaranteeing a large share of the loan amount to the lender,https://www.cgtmse.in,Recommend,Not Specified ,Not Specified 
3,Pradhan Mantri MUDRA Yojana (PMMY),All,Any (women constitute a majority of borrowers; special outreach to SC/ST and minorities),Provides collateral-free loans to start or expand micro and small businesses,Yes,"Shishu: up to Rs. 50,000; Kishor: Rs. 50,000 to Rs. 5 lakh; Tarun: Rs. 5 lakh to Rs. 10 lakh; Tarun Plus: Rs. 10 lakh to Rs. 20 lakh (introduced Union Budget 2024-25, available only to entrepreneurs who have successfully repaid a Tarun loan)",18 to 65 years,Not specified,All India,"Collateral-free, no-processing-fee loans up to Rs. 20 lakh for micro and small enterprises across four graduated categories",https://www.mudra.org.in,Recommend,18 years ,65 Years 
4,Stand-Up India Scheme,Women (also open to men from SC/ST category),SC/ST and Women,"Provides composite bank loans for setting up a new enterprise in manufacturing, services, trading or agri-allied activities",Yes,Composite loan (term loan plus working capital) of Rs. 10 lakh to Rs. 1 crore; credit guarantee cover available through the Credit Guarantee Fund Scheme for Stand-Up India (up to 80% coverage as per bank norms),18 years minimum,Not specified,All India,Bank loans of Rs. 10 lakh to Rs. 1 crore for new enterprises with credit guarantee support and handholding assistance,https://www.standupmitra.in,Verify ,18 years,No Upper Limit 
5,Credit Guarantee Scheme for Startups (CGSS),All,Any,"Guarantees term loans, working capital and venture debt extended to startups by banks, NBFCs and Alternative Investment Funds",Yes,Guarantee cover of up to Rs. 20 crore per borrower (doubled from the earlier Rs. 10 crore limit); guarantee coverage of 75%-85%,Not specified at individual level; enterprise must qualify as a 'startup' under DPIIT norms (generally recognised for up to 10 years from incorporation),Not specified,All India (implemented in 20+ states and union territories as of late 2025),Collateral-free debt financing of up to Rs. 20 crore for DPIIT-recognised startups,https://www.startupindia.gov.in,Recommend,Not Applicable,Not Applicable
6,Startup India Seed Fund Scheme (SISFS),All,Any,Provides seed-stage grant and debt funding to startups through approved incubators,Yes,"Up to Rs. 20 lakh as a grant for proof of concept, prototype development or product trials; up to Rs. 50 lakh as debt/convertible instruments for market entry and commercialisation, disbursed through eligible incubators",Not applicable at individual level; startup entity age typically under 2 years,Not specified,All India,"Early-stage grant and debt funding for prototype development, validation and market entry",https://seedfund.startupindia.gov.in,Don’t Recommend ,Not Applicable,Not Applicable
7,PM Vishwakarma Yojana,All,Any (open to all artisans in the notified trades regardless of caste category),"Provides formal recognition, skill training, modern toolkit support and collateral-free loans to artisan micro-businesses",Yes,"Rs. 15,000 toolkit incentive (e-voucher); collateral-free loans up to Rs. 3 lakh in two tranches at concessional interest (around 5%); Rs. 500/day training stipend; Re. 1 per digital transaction incentive (capped at 100 transactions/month)",18 years minimum; no upper limit specified,Not specified,All India,"Recognition certificate, skill training, toolkit grant, collateral-free loans, digital transaction incentives and marketing support for traditional artisans",https://pmvishwakarma.gov.in,Recommend,18 Years ,No Upper Limit 
8,PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),All,Any,Provides working capital loans to street vendors to restart or grow their vending business,Yes,"Progressive collateral-free working capital loans across three tranches (reported figures vary across official communications, broadly in the range of Rs. 10,000-15,000 for the first tranche, up to Rs. 20,000-25,000 for the second, and up to Rs. 50,000 for the third); 7% interest subsidy on timely repayment; digital-payment cashback of up to about Rs. 1,200/year",Not specified,Not specified,All India (through Urban Local Bodies),Collateral-free working capital loans in progressive tranches with an interest subsidy and digital-payment cashback incentives,https://pmsvanidhi.mohua.gov.in,Recommend,Not Specified ,Not Specified 
9,National SC-ST Hub,All,SC/ST,"Provides business development support, mentorship, market linkages and facilitates access to credit, technology and training for SC/ST entrepreneurs",No,Not applicable directly; the Hub is a facilitation and support ecosystem that connects entrepreneurs to other credit and procurement schemes rather than disbursing funds itself,18 years minimum,No specific income limit mentioned,All India,"Mentorship, networking with investors and government agencies, market linkages and overall business development support",https://www.scsthub.in,Recommend,18 Years,No Upper Limit 
10,NSFDC Term Loan / Micro Credit Finance Scheme,All,SC,Provides concessional term loans for setting up self-employment ventures and small businesses,Yes,"Term loans of up to 90% of project cost routed through State Channelizing Agencies (SCAs); Micro Credit Finance component provides loans up to Rs. 1.25 lakh (project cost up to about Rs. 1.4 lakh) at concessional interest around 6.5% p.a., repayable quarterly over 3 years",Not specified,"Below Rs. 3,00,000 per annum (family income)",All India (through State Channelizing Agencies),Concessional term loans enabling SC entrepreneurs to set up income-generating micro-enterprises,https://nsfdc.nic.in,Recommend,Not Specified ,Not Specified 
11,NMDFC Term Loan Scheme,All (concessional rates for women),Minority,"Provides concessional term loans for setting up or expanding minority-owned businesses, including working-capital support for artisans",Yes,Credit Line 1 and Credit Line 2 offer term loans up to about Rs. 10-20 lakh depending on the component; interest rates for artisans around 4%-6% p.a. (lower for women); financing pattern is roughly NMDFC:SCA:beneficiary in the range of 90:5:5 to 90:10,Not specified,Below double the poverty line (benchmark similar to Rs. 3 lakh/year used by comparable corporations; confirm current NMDFC-specific limit),All India (through State Channelizing Agencies),"Concessional term loans and micro-financing for minority entrepreneurs, artisans and women's Self-Help Groups",https://nmdfc.org,Verify ,Not Specified ,Not Specified 
12,NBCFDC New Swarnima Scheme for Women,Women,OBC,Provides concessional loans to women from backward classes to start or expand small businesses,Yes,"Loan up to Rs. 1,00,000 at 5% p.a. interest; NBCFDC loan component covers about 95% of project cost",Not specified,"Below double the poverty line (older circular cites Rs. 81,000/year rural and Rs. 1,03,000/year urban; verify current limit on official website as this may have been revised)",All India (through State Channelizing Agencies),Low-interest (5% p.a.) loans specifically for women entrepreneurs from backward classes,https://nbcfdc.gov.in,Verify ,Not Specified ,Not Specified 
13,Coir Udyami Yojana,All (priority given to women),Any (priority to SC/ST/OBC/Minorities; caste/community certificate required where claimed),Provides a credit-linked subsidy for establishing new coir manufacturing units,Yes,"Project cost up to Rs. 10 lakh plus one cycle of working capital (max 25% of project cost, not eligible for subsidy); financing pattern: 40% Government of India subsidy, 55% bank loan, 5% beneficiary contribution",18 years minimum,No specific income ceiling mentioned,"All India, primarily coconut/coir-producing states","Subsidy-plus-bank-loan combination to set up new coir manufacturing units, along with skill training and marketing support",https://coirboard.gov.in,Recommend,18 Years,No Upper Limit 
14,Scheme of Fund for Regeneration of Traditional Industries (SFURTI),All,Any (inclusive of SC/ST/women depending on cluster composition),"Funds cluster-level development for traditional industry artisans, covering infrastructure, technology, skilling and market linkages",Yes,Up to Rs. 2.5 crore for regular clusters (up to 500 artisans); up to Rs. 5 crore for major clusters (more than 500 artisans); soft interventions funded up to Rs. 25 lakh,Not applicable (institutional scheme),Not specified,All India (500+ approved clusters across 18+ states as of 2026),"Cluster-level funding for infrastructure, skill development, technology upgradation and market linkages that benefit member artisans",https://sfurti.msme.gov.in,Recommend,Not Applicable ,Not Applicable
15,PM Formalisation of Micro Food Processing Enterprises (PMFME),All,Any,Provides a credit-linked capital subsidy for upgrading and formalising unorganised micro food-processing units,Yes,"35% credit-linked capital subsidy (maximum Rs. 10 lakh per unit) for individual micro-enterprises; seed capital of Rs. 40,000 per member for SHG members; support for common infrastructure and branding/marketing for FPOs and cooperatives",Not specified precisely; general adult eligibility (18+) implied,Not specified,"All India, implemented through State/UT nodal departments","35% capital subsidy for food-processing unit upgradation, along with training, branding and marketing support",https://pmfme.mofpi.gov.in,Verify ,18 Years,No Upper Limit 
16,MSME Sustainable (ZED) Certification Scheme,All (additional subsidy for women-owned units),Any (additional 10% subsidy for SC/ST-owned units),"Subsidises certification cost, improving product quality, market access and eligibility for government tenders",Yes,"Subsidy on certification cost: 80% for Micro, 60% for Small, 50% for Medium enterprises; additional 10% subsidy for women-owned and SC/ST-owned units and units in NER/Himalayan/LWE/aspirational districts; additional 5% for SFURTI/MSE-CDP cluster members; Rs. 10,000 incentive for taking the ZED pledge",Not applicable (enterprise must have at least 1 year of operations),Not specified,All India,"Heavily subsidised quality/sustainability certification, enhanced CGTMSE credit-guarantee coverage, and preference in government tenders",https://zed.msme.gov.in,Recommend,Not Applicable,Not Applicable
17,Raising and Accelerating MSME Performance (RAMP),All (dedicated women-MSME acceleration cohorts run in some states),Any,"Strengthens existing MSME schemes (CGTMSE-linked credit, GeM market access, ZED greening) and improves centre-state coordination for MSME support",Yes,"Varies based on eligibility/project; total programme outlay of about Rs. 6,000 crore for FY 2022-23 to FY 2026-27, targeting more than 5.5 lakh MSMEs",Not specified,Not specified,All India,"Improved access to credit, market linkages (GeM), technology upgradation and greening support delivered through linked MSME schemes",https://champions.gov.in,Recommend,Not Specified ,Not Specified 
18,National Livestock Mission - Entrepreneurship Development Programme,All,Any,Provides capital subsidy for establishing livestock-related micro/small enterprises,Yes,"50% capital subsidy, with the ceiling varying by activity (for example, up to about Rs. 25 lakh for a poultry unit, up to about Rs. 30 lakh for sheep/goat breeding, up to about Rs. 50 lakh for feed/fodder units), disbursed in two instalments",Not specified,Not specified,All India (through State Implementing Agencies),"50% capital subsidy for setting up livestock, poultry or feed/fodder enterprises in rural areas",https://nlm.udyamimitra.in,Recommend,Not Specified ,Not Specified 
19,Animal Husbandry Infrastructure Development Fund (AHIDF),All,Any,Provides interest subvention and credit guarantee support for animal husbandry and dairy/meat-processing infrastructure projects,Yes,3% interest subvention for eligible entities; loan financing of up to 90% of project cost; beneficiary contribution of 10% (micro/small enterprises) up to 15% (medium enterprises); NABARD-managed credit guarantee fund covering up to 25% of the credit facility for MSMEs,Not specified,Not specified,All India,Interest subvention and credit-guarantee support for setting up dairy/meat processing and animal-husbandry infrastructure,https://ahidf.udyamimitra.in,Verify ,Not Specified ,Not Specified 
20,Udyogini Scheme (Karnataka),Women,Any (SC/ST women receive a higher subsidy),"Provides subsidised, collateral-free loans for women to start small businesses across a defined list of trades",Yes,"Loan of Rs. 1 lakh to Rs. 3 lakh; subsidy of 30% (general/special category, capped at Rs. 90,000); 50% subsidy for SC/ST women (capped at about Rs. 1.5 lakh); zero-interest provisions reported for widows, disabled and BPL women in some variants",18 to 55 years,"Below Rs. 1,50,000/year (general/special category); below Rs. 2,00,000/year (SC/ST category)",Karnataka only,Collateral-free loan with substantial subsidy enabling women to start small businesses across 88 eligible trades,https://kswdc.karnataka.gov.in,Recommend,18 Years ,55 Years 
