income,gender,caste,disability,location,age,bpl_card,business_type,marginalization_score
2000,female,ST,1,urban,20,1,manufacturing,90.24
2000,male,ST,0,rural,18,0,service,63.4
2945,male,General,0,urban,18,0,trade,27.51
2000,female,OBC,1,urban,19,1,manufacturing,74.66
2047,female,OBC,0,rural,19,0,service,61.1
2202,female,OBC,0,rural,18,0,trade,61.76
2000,male,SC,0,rural,18,0,manufacturing,64.91
2794,male,General,0,rural,18,0,service,38.53
2540,male,General,1,urban,18,0,trade,38.23
2000,male,ST,1,rural,18,1,manufacturing,84.88
2454,male,SC,0,rural,18,0,service,58.1
2137,female,General,1,urban,19,0,trade,51.29
3752,female,General,0,urban,18,0,manufacturing,42.04
3505,male,ST,0,urban,18,0,service,53.43
3098,male,General,1,urban,20,0,trade,35.38
2000,female,General,1,rural,18,1,manufacturing,75.03
2820,female,OBC,0,rural,19,0,service,65.07
2000,female,General,1,urban,19,1,trade,62.11
2737,male,General,0,urban,19,1,manufacturing,31.62
2264,female,OBC,0,urban,20,1,service,63.88
2103,female,General,0,urban,19,1,trade,47.97
2912,male,OBC,0,urban,22,1,manufacturing,46.03
2154,male,OBC,0,rural,18,1,service,56.47
2540,female,ST,1,urban,18,0,trade,80.44
2538,male,General,0,rural,20,1,manufacturing,46.52
4167,male,OBC,1,urban,20,0,service,53.18
2000,female,General,0,rural,20,1,trade,58.45
3260,male,OBC,1,rural,21,0,manufacturing,59.2
2481,male,OBC,0,rural,20,1,service,56.33
4756,male,General,1,urban,22,0,trade,39.39
3488,male,General,1,rural,21,0,manufacturing,47.53
3318,male,General,1,rural,20,0,service,47.51
2734,male,ST,1,rural,24,0,trade,75.77
4533,male,General,1,urban,20,0,manufacturing,38.9
2514,male,ST,1,rural,21,0,service,77.53
4498,female,OBC,0,rural,20,0,trade,60.81
2675,male,OBC,1,urban,23,1,manufacturing,60.73
2510,female,SC,0,urban,21,1,service,75.9
5185,male,General,1,urban,19,0,trade,37.91
5409,male,OBC,0,rural,21,0,manufacturing,50.19
2000,female,SC,1,rural,21,1,service,98.6
2210,male,SC,1,urban,22,1,trade,76.47
2619,female,SC,0,urban,22,1,manufacturing,76.65
2952,male,General,1,urban,22,1,service,47.06
2341,male,ST,1,urban,21,1,trade,74.48
2000,male,SC,1,rural,19,1,manufacturing,81.26
6306,male,General,0,rural,19,0,service,31.48
4562,female,OBC,1,urban,23,0,trade,62.68
2000,female,OBC,1,rural,20,1,manufacturing,83.38
2622,male,ST,0,rural,21,1,service,68.97
4163,male,OBC,1,rural,22,0,trade,60.25
3664,male,SC,1,rural,23,0,manufacturing,77.69
3827,male,ST,0,urban,20,1,service,64.99
6475,male,SC,0,urban,24,0,trade,51.5
2000,female,OBC,1,rural,25,1,manufacturing,84.88
2217,female,SC,0,rural,24,1,service,85.0
4958,male,OBC,0,urban,21,1,trade,45.26
2916,female,General,1,urban,23,1,manufacturing,63.11
5737,female,General,0,rural,22,0,service,48.47
3819,female,General,1,rural,24,0,trade,62.13
3314,female,General,0,rural,22,1,manufacturing,57.16
2895,male,ST,1,urban,25,1,service,72.68
8360,female,OBC,0,urban,21,0,trade,49.32
3183,female,General,1,urban,25,1,manufacturing,59.58
5441,male,General,0,urban,25,1,service,29.18
3111,female,ST,0,urban,27,1,trade,77.56
7431,male,OBC,1,urban,25,0,manufacturing,46.89
2283,female,General,1,rural,25,1,service,67.72
6715,female,General,0,rural,23,0,trade,46.71
2633,female,SC,0,rural,25,1,manufacturing,83.3
4869,female,ST,0,rural,22,0,service,76.69
2815,female,ST,0,rural,24,1,trade,84.2
8997,female,OBC,0,urban,23,0,manufacturing,49.17
11439,male,General,0,urban,25,0,service,25.16
4670,male,OBC,0,rural,24,1,trade,53.87
5382,female,ST,0,rural,25,0,manufacturing,73.8
6776,female,General,1,urban,25,0,service,50.29
4081,female,ST,0,urban,24,1,trade,76.05
7060,female,General,1,urban,25,0,manufacturing,52.71
4917,female,ST,1,urban,24,0,service,80.52
7689,male,OBC,1,urban,25,0,trade,52.69
6669,male,OBC,1,rural,25,0,manufacturing,57.18
3713,male,SC,0,rural,27,1,service,69.56
3898,female,SC,1,rural,23,0,trade,87.09
7207,female,General,1,urban,25,0,manufacturing,50.47
5213,female,SC,1,urban,27,0,service,76.04
5455,male,SC,0,urban,26,1,trade,62.55
2724,female,OBC,1,rural,27,1,manufacturing,84.36
5499,female,SC,1,urban,28,0,service,76.87
9626,male,ST,0,urban,26,0,trade,52.34
5966,female,OBC,1,rural,26,0,manufacturing,74.23
5433,male,SC,1,rural,25,0,service,75.34
4363,female,ST,0,urban,25,1,trade,71.12
13222,male,General,0,urban,28,0,manufacturing,16.64
6112,female,ST,0,rural,24,0,service,76.47
3275,female,ST,1,urban,26,1,trade,87.41
4211,male,General,1,rural,25,1,manufacturing,57.14
2595,female,ST,1,rural,27,1,service,96.94
7834,male,OBC,1,rural,26,0,trade,62.68
9306,female,SC,0,urban,27,0,manufacturing,61.6
14297,male,General,0,urban,27,0,service,17.23
4393,male,OBC,1,rural,27,1,trade,69.17
